,label,transcript
91,CM13_B2_CW84_M7,call
92,CM13_B2_UW50_M6,blithe
93,F04_B1_C5_M5,cab
94,CM13_B1_CW98_M3,part
95,M14_B1_CW1_M5,the
96,M16_B3_LV_M6,NA
97,CM13_B3_CW22_M6,b
98,M16_B3_LD_M5,delta
99,M14_B2_CW44_M5,which
100,M14_B1_LG_M5,golf
101,M16_B1_UW83_M6,free
102,CM13_B3_CW84_M7,call
103,CM13_B1_UW80_M7,massage
104,F04_B2_UW92_M6,fishing
105,M14_B3_LH_M6,hotel
106,M14_B1_UW42_M8,inquires
107,CM13_B2_CW69_M7,look
108,M14_B1_CW64_M8,like
109,M16_B2_D2_M3,2
110,M16_B3_CW49_M6,if
111,CM13_B3_UW73_M6,inexhaustible
112,M16_B2_UW71_M5,NA
113,CM13_B1_UW13_M8,hypothesis
114,CM13_B3_LD_M5,delta
115,CM13_B3_D9_M8,9
116,M14_B1_UW84_M8,wingo
117,F04_B3_UW50_M6,are you graduate
118,M14_B2_UW37_M3,conversion
119,M16_B2_CW17_M7,with
120,CM13_B1_UW72_M7,gouged
121,M16_B2_CW15_M5,NA
122,M16_B1_LL_M3,lilo
123,M14_B1_C11_M5,paragraph
124,F04_B3_LF_M5,foxtrot
125,M14_B2_LA_M7,alpha
126,M16_B3_CW28_M3,long
127,CM13_B1_UW82_M8,house
128,M14_B1_D8_M7,8
129,M14_B2_CW59_M7,so
130,CM13_B3_CW72_M3,go
131,M16_B1_UW96_M3,NA
132,CM13_B1_CW69_M5,look
133,CM13_B1_UW3_M7,frugality
134,CM13_B3_LI_M5,india
135,CM13_B1_CW62_M5,wood
136,CM13_B1_CW81_M3,first
137,CM13_B1_CW25_M7,from
138,F04_B3_CW95_M7,come
139,F04_B3_UW65_M7,convenient
140,M14_B3_UW13_M7,darice
141,CM13_B2_UW73_M7,cowhide
142,CM13_B2_UW33_M8,approach
143,CM13_B1_LT_M3,tango
144,CM13_B3_UW49_M5,demolish
145,CM13_B1_UW1_M6,naturalization
146,M14_B3_UW37_M6,oil
147,F04_B2_CW4_M5,NA
148,F04_B3_LT_M7,canada
149,M16_B1_UW20_M8,NA
150,CM13_B3_UW74_M3,judith
151,F04_B2_UW24_M7,NA
152,CM13_B3_UW30_M6,scullion
153,F04_B3_UW53_M5,professionals
154,M14_B3_CW71_M6,right
155,F04_B2_UW17_M3,of y'all
156,CM13_B2_CW89_M8,find
157,F04_B3_UW40_M5,NA
158,M14_B3_CW50_M7,well
159,CM13_B3_UW46_M3,southeastern
160,F04_B3_UW46_M6,officially
161,F04_B2_UW91_M7,orange
162,M14_B2_UW75_M7,digest
163,F04_B2_UW100_M3,NA
164,CM13_B2_C11_M3,paragraph
165,F04_B3_CW98_M7,NA
166,M14_B3_C13_M8,haste
167,CM13_B3_CW8_M8,you
168,CM13_B1_UW58_M6,asher
169,F04_B3_C8_M5,control
170,CM13_B1_CW94_M6,get
171,M14_B2_LK_M7,cute
172,M14_B1_C15_M3,copy
173,CM13_B2_UW79_M3,durable
174,CM13_B3_LB_M6,bravo
175,M14_B2_CW72_M7,go
176,CM13_B2_CW53_M7,about
177,CM13_B3_CW13_M8,4
178,M16_B2_UW93_M8,NA
179,M14_B1_C5_M8,tap
180,CM13_B1_UW65_M5,chowder
181,F04_B3_CW1_M6,NA
182,M14_B2_UW52_M8,bluebells
183,M16_B2_CW34_M3,NA
184,CM13_B3_UW13_M7,juries
185,M14_B2_UW34_M6,astound
186,CM13_B2_CW86_M5,oil
187,M16_B2_UW81_M5,young
188,M14_B1_LA_M6,alpha
189,F04_B2_UW24_M3,NA
190,F04_B3_LD_M5,delta
191,M14_B2_UW18_M3,absorbed
192,CM13_B1_C7_M8,alt
193,CM13_B1_UW77_M3,immovable
194,F04_B3_UW93_M8,glasses
195,F04_B1_UW59_M8,beguile
196,F04_B3_LT_M6,NA
197,M16_B2_CW10_M3,it
198,F04_B3_LL_M3,NA
199,M16_B1_CW25_M6,NA
200,CM13_B1_CW73_M3,see
201,F04_B3_UW57_M7,washerwoman
202,CM13_B2_UW50_M7,blithe
203,CM13_B1_C1_M3,command
204,M16_B2_UW17_M8,absolve
205,CM13_B1_LD_M8,delta
206,M14_B1_CW84_M6,call
207,M14_B3_CW43_M3,each
208,F04_B2_D1_M6,1
209,M16_B1_LX_M5,NA
210,M14_B3_C4_M5,enter
211,CM13_B3_D4_M5,4
212,CM13_B3_C12_M6,sentence
213,CM13_B1_UW64_M5,choice
214,CM13_B3_CW86_M8,oil
215,CM13_B3_UW95_M5,stars
216,F04_B2_UW38_M6,bachelor
217,M16_B1_CW22_M6,b
218,M14_B3_CW69_M7,NA
219,M16_B3_LT_M8,tango
220,M14_B2_LZ_M6,zoo
221,F04_B1_C1_M3,command
222,CM13_B3_UW34_M5,sympathize
223,M14_B1_CW69_M7,look
224,CM13_B3_UW42_M5,massachusetts
225,CM13_B3_UW80_M5,praiseworthy
226,M14_B3_UW18_M5,nodule
227,M16_B2_CW87_M5,NA
228,F04_B1_CW44_M6,which
229,CM13_B3_CW37_M5,your
230,F04_B2_C3_M6,delete
231,CM13_B3_CW91_M8,down
232,CM13_B2_CW5_M3,2
233,CM13_B2_UW86_M8,lamp
234,CM13_B3_UW22_M8,protege
235,M16_B3_CW37_M6,you work
236,M16_B3_LY_M6,yankee
237,CM13_B1_LJ_M7,juliet
238,M16_B1_CW36_M6,1
239,M16_B1_CW47_M6,NA
240,F04_B1_UW35_M3,equilibrium
241,M16_B3_CW27_M7,NA
242,CM13_B1_UW53_M6,advice
243,M14_B3_CW48_M6,bear
244,CM13_B1_CW43_M7,each
245,CM13_B3_UW17_M5,nathaniel
246,M16_B3_CW33_M8,all
247,CM13_B1_UW16_M8,nevertheless
248,CM13_B1_D5_M3,5
249,CM13_B3_CW100_M5,yes
250,CM13_B3_C12_M3,sentence
251,F04_B3_CW9_M7,that
252,CM13_B1_UW92_M6,shuffle
253,CM13_B3_C12_M8,sentence
254,F04_B1_CW33_M7,all
255,M16_B2_UW42_M7,NA
256,CM13_B2_UW96_M8,bathtub
257,M14_B1_CW61_M5,her
258,M16_B3_CW37_M7,you work
259,F04_B3_CW6_M7,NA
260,F04_B1_C14_M5,cut
261,F04_B1_UW7_M5,able-bodied
262,F04_B2_UW19_M3,adhesion
263,M16_B3_LV_M5,NA
264,CM13_B2_UW71_M7,coil
265,CM13_B3_UW5_M3,good
266,CM13_B2_CW82_M6,water
267,M14_B2_CW62_M5,wood
268,M16_B1_CW97_M5,NA
269,M16_B1_LS_M6,ciara
270,F04_B3_UW46_M7,officially
271,M16_B2_C15_M3,NA
272,M14_B1_LT_M5,tango
273,CM13_B2_UW97_M5,bath
274,CM13_B3_LF_M8,foxtrot
275,M16_B2_UW39_M3,NA
276,CM13_B3_UW1_M7,enthused
277,CM13_B1_LF_M5,foxtrot
278,F04_B1_UW13_M3,hypotheses
279,M14_B3_UW55_M7,35
280,F04_B1_C6_M3,escape
281,CM13_B2_UW16_M5,ablutions
282,F04_B3_CW17_M8,NA
283,CM13_B2_UW12_M8,toothache
284,CM13_B2_LM_M3,mike
285,F04_B3_LU_M3,airborne
286,CM13_B3_UW31_M7,shout
287,CM13_B2_LV_M3,victor
288,M16_B3_UW89_M3,NA
289,F04_B2_CW70_M5,more
290,M14_B2_CW99_M3,oh
291,F04_B2_C9_M6,shift
292,M14_B2_UW94_M5,feather
293,M16_B1_UW6_M6,listen
294,M14_B3_C18_M8,left
295,F04_B3_CW19_M8,they
296,M14_B2_UW11_M6,supreme
297,M16_B2_UW72_M5,convulsion
298,M16_B1_UW14_M6,rafiki
299,M16_B2_CW99_M3,NA
300,CM13_B1_UW12_M8,pickled
301,CM13_B2_UW61_M8,buffoon
302,M16_B3_UW27_M3,root word
303,CM13_B2_CW64_M6,like
304,M14_B3_C14_M3,cut
305,M14_B1_CW14_M3,NA
306,M14_B1_UW23_M3,autobiography
307,M16_B2_UW84_M3,NA
308,F04_B1_C12_M6,fenton
309,M14_B3_D1_M5,1
310,CM13_B1_CW99_M6,oh
311,F04_B1_CW66_M8,into
312,CM13_B1_UW6_M7,supervision
313,M16_B3_CW93_M7,did
314,M16_B1_CW10_M3,it
315,F04_B2_CW42_M7,in
316,M14_B1_C17_M6,downward
317,F04_B2_CW97_M6,NA
318,M14_B3_CW38_M8,can
319,M14_B2_UW72_M7,convulsion
320,CM13_B3_LW_M5,whiskey
321,CM13_B1_UW62_M5,chatterbox
322,CM13_B1_CW75_M5,no
323,M14_B3_LI_M5,india
324,M14_B1_CW89_M5,find
325,CM13_B1_CW67_M3,time
326,CM13_B2_UW27_M6,anxieties
327,CM13_B2_UW5_M6,reunited
328,CM13_B2_C8_M7,control
329,M16_B3_CW63_M3,NA
330,CM13_B1_CW26_M5,or
331,F04_B2_UW53_M5,NA
332,M16_B3_UW47_M6,NA
333,M16_B2_LC_M3,sorry
334,CM13_B2_UW41_M7,battlefield
335,CM13_B2_UW99_M7,finger
336,M16_B1_UW80_M8,NA
337,M14_B1_C14_M8,cut
338,M14_B3_UW96_M6,fire
339,CM13_B2_CW43_M6,each
340,CM13_B3_CW27_M8,had
341,CM13_B1_UW58_M5,ensure
342,M16_B2_CW37_M6,NA
343,M14_B2_CW49_M7,if
344,CM13_B1_UW90_M3,ball
345,M14_B1_CW32_M7,what
346,M14_B2_UW53_M6,boost
347,F04_B2_UW45_M5,beleaguering
348,CM13_B1_CW82_M3,water
349,F04_B3_CW63_M3,make
350,CM13_B2_UW29_M3,anyting
351,M16_B3_UW21_M3,crochet hair
352,CM13_B3_CW13_M3,4
353,CM13_B3_UW54_M6,rollie pollie
354,M14_B1_UW38_M7,trademarks
355,M16_B1_CW76_M6,boy
356,F04_B3_UW8_M3,hayward
357,F04_B1_UW3_M6,who's your daddy
358,M16_B1_UW31_M8,choking
359,CM13_B3_CW2_M8,of
360,F04_B2_CW76_M8,NA
361,F04_B1_CW59_M3,NA
362,M14_B1_C19_M5,right
363,CM13_B3_UW68_M3,episode
364,M14_B3_CW80_M5,fan
365,CM13_B3_LA_M8,alpha
366,M14_B1_CW95_M5,come
367,F04_B2_UW16_M7,ablution
368,CM13_B2_UW53_M6,NA
369,M16_B3_CW7_M3,is
370,CM13_B1_CW28_M6,bye
371,CM13_B1_UW50_M5,promulgate
372,CM13_B3_CW22_M7,b
373,CM13_B2_CW19_M5,today
374,F04_B2_CW43_M3,NA
375,CM13_B1_CW37_M7,your
376,M16_B3_D8_M7,8
377,F04_B3_UW33_M8,torn
378,F04_B1_UW89_M7,girl
379,CM13_B1_D2_M8,2
380,F04_B2_LG_M6,golf
381,M16_B1_CW21_M6,NA
382,M16_B3_UW96_M8,NA
383,F04_B1_LC_M3,charlie
384,M16_B3_UW26_M7,NA
385,M16_B2_CW15_M6,NA
386,CM13_B2_CW54_M7,out
387,CM13_B1_LX_M5,x-ray
388,CM13_B2_UW55_M5,NA
389,CM13_B3_UW74_M5,judith
390,M16_B1_UW56_M7,asurion
391,M16_B1_CW81_M8,NA
392,M14_B3_CW30_M5,NA
393,M14_B2_CW80_M5,ban
394,M16_B2_CW63_M3,like
395,CM13_B2_CW72_M7,go
396,CM13_B2_UW92_M3,fishing
397,CM13_B3_CW67_M8,time
398,M16_B1_CW95_M7,NA
399,CM13_B2_CW76_M5,way
400,CM13_B2_UW3_M3,nuremberg
401,F04_B2_UW12_M7,tuesday
402,F04_B1_UW61_M7,world
403,M14_B3_CW33_M8,NA
404,F04_B2_CW17_M3,NA
405,CM13_B2_UW65_M6,butterflies
406,CM13_B2_UW99_M5,finger
407,CM13_B3_CW20_M8,hi
408,F04_B3_CW89_M5,find
409,M14_B3_CW83_M7,and
410,F04_B2_UW84_M5,swimming
411,M16_B2_CW2_M5,NA
412,CM13_B1_LB_M8,bravo
413,M14_B1_LW_M6,whiskey
414,F04_B1_UW77_M8,emma wiggle
415,CM13_B2_UW14_M3,voyage
416,CM13_B3_UW75_M6,morgantown
417,F04_B1_CW29_M8,world
418,M14_B3_CW73_M5,see
419,CM13_B3_C3_M7,delete
420,M14_B1_UW31_M7,choking
421,M14_B3_CW67_M5,time
422,CM13_B1_C14_M3,cut
423,CM13_B2_CW1_M3,duh
424,M16_B1_CW71_M7,right
425,CM13_B2_LX_M8,x-ray
426,M16_B2_UW83_M3,home
427,CM13_B3_CW40_M6,there
428,F04_B2_CW88_M3,now
429,CM13_B3_UW6_M7,greyhound
430,M14_B1_CW18_M5,his
431,F04_B2_CW76_M3,boy
432,CM13_B2_LR_M3,romeo
433,M14_B3_CW74_M8,number
434,CM13_B2_CW81_M8,first
435,M16_B2_UW56_M6,NA
436,F04_B3_CW34_M7,where
437,M14_B1_UW36_M6,exactitud
438,M16_B1_UW92_M8,shuffle
439,M16_B2_D9_M5,NA
440,M14_B1_C17_M3,downward
441,M14_B2_UW70_M8,coherent
442,CM13_B1_UW75_M7,orangutan
443,CM13_B3_UW45_M3,quadrupled
444,F04_B1_CW53_M7,about
445,CM13_B3_CW57_M6,them
446,M14_B1_UW58_M3,azure
447,CM13_B3_CW83_M5,ben
448,CM13_B1_UW52_M5,adulation
449,M14_B1_LU_M5,uniform
450,F04_B2_CW79_M8,my
451,M16_B3_CW70_M5,NA
452,CM13_B2_UW98_M6,ring
453,M14_B1_CW78_M3,people
454,CM13_B2_LM_M6,mike
455,M16_B1_CW15_M8,NA
456,CM13_B3_UW41_M6,yale
457,F04_B1_D4_M6,4
458,CM13_B3_LI_M3,india
459,M16_B2_UW57_M8,bullet force
460,CM13_B2_UW84_M6,swimming
461,CM13_B2_CW58_M8,these
462,F04_B3_CW94_M8,gay
463,M14_B2_UW16_M6,ablutions
464,CM13_B3_CW31_M7,not
465,CM13_B3_UW25_M8,rendezvous
466,M16_B3_UW76_M8,more students
467,CM13_B3_CW53_M7,about
468,M14_B2_CW67_M3,time
469,CM13_B1_UW45_M8,legislature
470,CM13_B2_UW7_M5,schoolyard
471,CM13_B2_UW10_M8,sugar
472,F04_B1_C10_M8,mine
473,CM13_B2_CW40_M5,bear
474,M16_B2_C5_M6,NA
475,CM13_B1_CW4_M7,NA
476,M14_B1_CW24_M5,hat
477,M16_B3_CW60_M8,NA
478,M14_B3_CW66_M7,into
479,F04_B1_UW51_M6,python
480,CM13_B2_UW31_M3,appreciable
481,CM13_B2_UW39_M5,bathe
482,CM13_B3_C5_M3,tab
483,CM13_B1_CW44_M3,which
484,CM13_B3_C5_M5,tab
485,CM13_B2_CW98_M7,part
486,M16_B2_CW32_M3,what
487,CM13_B3_CW91_M6,down
488,CM13_B3_UW64_M5,commercial
489,F04_B3_CW68_M8,NA
490,M14_B3_LB_M7,bro
491,F04_B2_UW36_M3,authoritative
492,M16_B1_CW28_M3,bye
493,M14_B1_UW44_M6,journalism
494,F04_B1_CW96_M7,made
495,CM13_B2_UW94_M3,feather
496,M16_B3_D7_M6,kevin
497,CM13_B2_CW44_M8,which
498,CM13_B1_CW14_M3,on
499,F04_B2_CW55_M7,many
500,CM13_B3_D3_M8,3
501,F04_B1_CW21_M3,at
502,CM13_B3_UW36_M6,val
503,M14_B3_C7_M7,al's
504,M14_B1_LO_M6,oscar
505,F04_B2_UW68_M3,celebrity
506,CM13_B2_UW68_M8,celebrity
507,M16_B3_C5_M7,NA
508,F04_B3_UW20_M3,output
509,F04_B1_UW63_M7,shofar
510,CM13_B2_UW18_M7,absorb
511,M16_B3_CW35_M8,NA
512,CM13_B1_CW54_M3,out
513,CM13_B1_UW100_M7,vacuum
514,M16_B2_D9_M6,NA
515,F04_B3_CW40_M7,there
516,M16_B3_CW84_M6,call
517,CM13_B1_CW34_M7,where
518,M16_B3_C1_M6,NA
519,CM13_B3_CW50_M3,will
520,CM13_B1_LT_M8,tango
521,CM13_B2_CW15_M7,ar
522,CM13_B3_UW76_M5,mustache
523,CM13_B3_UW19_M5,nowhere
524,CM13_B1_CW23_M8,this
525,F04_B2_CW72_M3,go
526,F04_B3_UW34_M8,emphasize
527,M14_B1_LH_M8,hotel
528,M16_B2_UW29_M7,anythink
529,CM13_B3_CW24_M5,have
530,M14_B1_CW23_M6,this
531,M16_B1_CW59_M8,show
532,CM13_B3_UW56_M8,dodge safe
533,M14_B3_CW45_M3,she
534,M16_B1_CW85_M6,2
535,F04_B2_UW78_M6,darling
536,F04_B1_C2_M7,backspace
537,F04_B3_D6_M3,NA
538,CM13_B2_CW94_M3,get
539,F04_B2_CW3_M7,and
540,CM13_B3_UW26_M7,resound
541,M14_B1_D9_M6,9
542,CM13_B2_UW61_M7,buffoon
543,M14_B1_C16_M7,upward
544,CM13_B3_UW3_M6,fayetteville
545,M16_B2_D3_M8,NA
546,M16_B1_CW32_M3,what
547,M14_B2_LG_M6,golf
548,CM13_B2_CW13_M5,4
549,CM13_B2_CW31_M5,not
550,M16_B1_UW64_M5,NA
551,M16_B3_C8_M5,NA
552,CM13_B1_LX_M3,x-ray
553,M14_B3_C7_M6,NA
554,CM13_B1_UW60_M6,birmingham
555,M14_B3_C17_M3,downward
556,CM13_B3_UW61_M5,bungalows
557,CM13_B2_CW14_M8,on
558,CM13_B2_CW96_M6,made
559,M16_B1_UW35_M5,equilibrium
560,M14_B3_CW16_M8,as
561,M16_B3_LA_M8,alpha
562,CM13_B3_CW46_M5,do
563,CM13_B1_CW91_M8,down
564,F04_B3_CW21_M7,NA
565,CM13_B1_CW86_M3,oil
566,CM13_B2_UW72_M8,convulsion
567,CM13_B2_LU_M7,uniform
568,F04_B2_CW49_M3,if
569,CM13_B3_CW42_M3,an
570,F04_B3_CW90_M6,NA
571,M14_B2_UW79_M5,durable
572,M14_B1_UW28_M6,bouquets
573,M16_B3_CW23_M8,NA
574,CM13_B1_UW40_M8,haha
575,CM13_B3_UW75_M8,morgantown
576,CM13_B2_CW41_M5,use
577,CM13_B3_CW15_M8,ar
578,M16_B1_LW_M3,whiskey
579,CM13_B1_CW67_M5,time
580,CM13_B2_CW84_M8,call
581,CM13_B3_UW93_M6,glasses
582,CM13_B3_UW57_M3,washerwoman
583,M14_B2_UW79_M7,adorable
584,F04_B3_CW88_M7,now
585,F04_B3_UW35_M8,dying
586,CM13_B3_CW79_M3,my
587,F04_B1_CW85_M7,who
588,CM13_B3_CW4_M7,NA
589,CM13_B1_C18_M6,left
590,CM13_B3_C14_M3,cut
591,CM13_B2_CW9_M3,that
592,F04_B1_C2_M5,backspace
593,CM13_B1_UW91_M5,wagon
594,CM13_B2_UW90_M6,carrot
595,F04_B1_UW40_M8,haha inalienable
596,M14_B2_UW2_M5,needlepoint
597,M14_B3_LD_M7,delta
598,CM13_B1_CW33_M6,all
599,CM13_B2_CW6_M8,in
600,F04_B3_CW15_M5,ar
601,CM13_B3_UW71_M3,gustav
602,CM13_B2_CW90_M5,long
603,M16_B3_C9_M8,NA
604,CM13_B2_CW74_M3,number
605,CM13_B3_UW80_M6,praiseworthy
606,M16_B3_UW4_M8,oil
607,CM13_B1_UW24_M6,avenues
608,CM13_B2_UW45_M7,beleaguering
609,M16_B2_LA_M6,alpha
610,CM13_B1_UW48_M6,perpetual
611,CM13_B1_UW54_M8,amethyst
612,F04_B1_CW53_M8,about
613,CM13_B1_CW16_M7,as
614,CM13_B1_UW80_M5,massage
615,M16_B3_UW11_M7,NA
616,F04_B3_UW78_M5,around
617,CM13_B3_UW98_M3,ahead
618,M16_B1_C10_M3,line
619,CM13_B2_UW59_M8,royal
620,CM13_B2_UW93_M7,chair
621,CM13_B1_LY_M7,yankee
622,CM13_B2_LW_M7,whiskey
623,CM13_B1_UW20_M8,dodge safe
624,CM13_B3_UW67_M8,dodgers
625,M14_B2_UW43_M6,battleship
626,CM13_B3_UW91_M3,balloons
627,CM13_B1_CW42_M7,an
628,CM13_B3_UW77_M8,nausea
629,CM13_B3_LE_M5,echo
630,CM13_B1_CW100_M5,yes
631,M16_B2_CW40_M6,NA
632,CM13_B1_C5_M5,tab
633,CM13_B1_C2_M6,backspace
634,CM13_B2_C7_M8,alt
635,CM13_B3_UW5_M5,good
636,M14_B1_CW67_M7,time
637,CM13_B3_LL_M7,lima
638,M16_B1_D0_M3,NA
639,M16_B2_CW3_M6,NA
640,M14_B3_CW39_M8,send
641,CM13_B1_UW30_M5,cheshire
642,F04_B1_LQ_M8,NA
643,M16_B3_CW62_M5,world
644,M16_B2_CW83_M6,then
645,CM13_B3_UW65_M3,convenience
646,CM13_B3_LH_M3,hotel
647,M16_B3_CW17_M8,with
648,M16_B3_UW16_M5,moonshine
649,CM13_B3_C7_M6,alt
650,CM13_B2_UW70_M5,coherent
651,F04_B3_CW45_M5,she
652,CM13_B1_LC_M5,charlie
653,M14_B1_UW25_M6,baby honey
654,M14_B3_CW3_M5,NA
655,CM13_B1_C16_M8,upward
656,M16_B3_CW68_M7,NA
657,CM13_B2_UW42_M5,battlements
658,CM13_B2_UW95_M6,pencil
659,CM13_B2_D5_M6,5
660,M16_B3_CW36_M3,NA
661,CM13_B3_C3_M6,delete
662,F04_B2_CW38_M5,can
663,CM13_B3_UW43_M8,designate
664,M14_B1_CW39_M7,sad
665,F04_B3_UW82_M6,soothing
666,CM13_B2_C14_M6,cut
667,M14_B2_CW45_M3,she
668,M14_B2_CW100_M7,yes
669,CM13_B2_C9_M7,shift
670,M14_B3_UW54_M7,rollie pollie
671,M16_B2_UW22_M7,ankle
672,CM13_B3_C9_M6,shift
673,M14_B3_UW42_M7,massachusetts
674,CM13_B2_UW2_M3,needlepoint
675,M14_B3_D5_M5,5
676,M16_B2_UW10_M6,NA
677,CM13_B2_LX_M5,x-ray
678,CM13_B2_UW46_M6,bengal
679,M14_B2_CW47_M5,how
680,F04_B2_CW91_M5,down
681,CM13_B3_CW78_M5,people
682,M16_B1_CW5_M6,2
683,M14_B1_UW69_M7,employment
684,M14_B3_CW89_M5,i'm
685,F04_B2_C19_M7,right
686,CM13_B3_CW95_M6,come
687,M16_B3_UW73_M3,inexhaustible
688,M14_B3_LU_M6,NA
689,M14_B1_CW77_M7,good
690,F04_B1_UW62_M6,chatterbox
691,CM13_B2_CW42_M7,and
692,CM13_B1_CW14_M6,on
693,CM13_B3_C5_M7,tab
694,M14_B1_CW38_M8,can
695,F04_B1_CW59_M8,tall
696,F04_B3_CW48_M8,there
697,F04_B3_UW88_M6,frog
698,CM13_B1_CW58_M7,these
699,M14_B3_UW23_M6,murphy
700,CM13_B3_UW68_M7,episode
701,F04_B3_CW15_M3,ar
702,CM13_B3_CW55_M8,many
703,M16_B3_CW62_M8,world
704,M16_B1_UW98_M5,NA
705,CM13_B3_CW61_M6,her
706,CM13_B3_CW71_M3,right
707,CM13_B2_UW27_M5,anxieties
708,F04_B2_UW82_M7,watch
709,M14_B1_CW65_M5,ham
710,CM13_B3_CW71_M7,right
711,M14_B3_CW59_M7,so
712,CM13_B2_CW81_M6,first
713,M14_B1_UW35_M3,equilibrium
714,F04_B3_UW20_M7,outlet
715,M16_B1_C13_M8,please
716,CM13_B1_C13_M8,paste
717,CM13_B3_LP_M8,papa
718,CM13_B3_UW80_M8,praiseworthy
719,F04_B2_CW31_M6,NA
720,M14_B2_D5_M3,NA
721,CM13_B1_C13_M6,paste
722,M14_B1_CW91_M7,down
723,CM13_B2_C17_M8,downward
724,F04_B2_UW49_M6,betrothed
725,F04_B2_UW95_M3,penta
726,CM13_B1_UW92_M7,shuffle
727,CM13_B3_CW62_M5,wood
728,M14_B1_CW83_M5,band
729,CM13_B3_UW76_M7,mustache
730,CM13_B2_C7_M6,alt
731,CM13_B3_CW91_M3,down
732,F04_B1_UW41_M7,alienable
733,CM13_B3_CW47_M6,how
734,M14_B1_UW23_M6,autobiography
735,F04_B2_UW34_M3,i found it
736,CM13_B2_UW11_M6,supreme
737,M14_B3_UW65_M6,convenience
738,M16_B2_UW54_M3,NA
739,CM13_B2_CW11_M5,key
740,CM13_B3_UW51_M6,multiflora
741,M16_B1_UW57_M5,asia
742,M16_B3_D9_M8,9
743,M14_B2_UW98_M6,ring
744,CM13_B2_CW5_M8,2
745,M14_B3_UW36_M8,NA
746,CM13_B2_LZ_M8,zulu
747,CM13_B2_UW33_M3,approach
748,CM13_B1_CW61_M5,her
749,F04_B2_UW6_M5,roof
750,CM13_B3_D8_M7,8
751,CM13_B2_LU_M3,uniform
752,CM13_B2_CW65_M7,kim
753,CM13_B3_UW97_M7,watch
754,CM13_B1_CW53_M7,about
755,F04_B3_UW100_M6,NA
756,M16_B2_CW8_M7,you
757,CM13_B3_CW38_M8,can
